方向,排名,題材,熱度Δ,市場,代碼,XQ代碼,公司,當週排行
下降,18,CPO/光通訊,-3.61,陸,sz300394,300394.SZ,天孚通信,30
下降,19,晶圓代工,-3.31,台,2330,2330.TW,,1
下降,19,晶圓代工,-3.31,台,2303,2303.TW,,19
下降,19,晶圓代工,-3.31,台,6770,6770.TW,,32
下降,19,晶圓代工,-3.31,台,5347,5347.TW,,81
下降,19,晶圓代工,-3.31,美,INTC,INTC.US,英特爾,7
下降,19,晶圓代工,-3.31,美,TSM,TSM.US,台積電ADR,16
下降,19,晶圓代工,-3.31,美,TSEM,TSEM.US,Tower Semiconductor,222
下降,19,晶圓代工,-3.31,美,UMC,UMC.US,聯電ADR,265
下降,19,晶圓代工,-3.31,陸,sh688981,688981.SH,中芯國際,27
下降,19,晶圓代工,-3.31,陸,sh688347,688347.SH,華虹宏力,78
下降,19,晶圓代工,-3.31,陸,sh688249,688249.SH,晶合集成,104
下降,20,電池/儲能,-1.22,台,3211,3211.TW,,265
下降,20,電池/儲能,-1.22,美,BE,BE.US,Bloom Energy,28
下降,20,電池/儲能,-1.22,美,FCEL,FCEL.US,FuelCell Energy,422
下降,20,電池/儲能,-1.22,日,5713,5713.JP,住友金屬礦山,51
下降,20,電池/儲能,-1.22,日,485,485.JP,PowerX,138
下降,20,電池/儲能,-1.22,韓,006400,006400.KS,三星SDI,21
下降,20,電池/儲能,-1.22,韓,086520,086520.KS,Ecopro,36
下降,20,電池/儲能,-1.22,韓,373220,373220.KS,LG新能源,39
下降,20,電池/儲能,-1.22,韓,247540,247540.KS,Ecopro BM,82
下降,20,電池/儲能,-1.22,韓,003670,003670.KS,POSCO Future M,89
下降,20,電池/儲能,-1.22,陸,sz300750,300750.SZ,寧德時代,32
下降,20,電池/儲能,-1.22,陸,sz002709,002709.SZ,天賜材料,102
下降,20,電池/儲能,-1.22,陸,sh603678,603678.SH,火炬電子,158
下降,20,電池/儲能,-1.22,陸,sz002738,002738.SZ,中礦資源,168
下降,20,電池/儲能,-1.22,陸,sz002245,002245.SZ,蔚藍鋰芯,183
下降,21,封測(OSAT/測試),-1.2,台,3711,3711.TW,,6
下降,21,封測(OSAT/測試),-1.2,台,2449,2449.TW,,25
下降,21,封測(OSAT/測試),-1.2,台,6271,6271.TW,,33
下降,21,封測(OSAT/測試),-1.2,台,6147,6147.TW,,45
下降,21,封測(OSAT/測試),-1.2,台,6239,6239.TW,,47
下降,21,封測(OSAT/測試),-1.2,台,6515,6515.TW,,49
下降,21,封測(OSAT/測試),-1.2,台,7769,7769.TW,,59
下降,21,封測(OSAT/測試),-1.2,台,6223,6223.TW,,63
下降,21,封測(OSAT/測試),-1.2,台,3374,3374.TW,,66
下降,21,封測(OSAT/測試),-1.2,台,8150,8150.TW,,68
下降,21,封測(OSAT/測試),-1.2,台,2360,2360.TW,,77
下降,21,封測(OSAT/測試),-1.2,台,3264,3264.TW,,102
下降,21,封測(OSAT/測試),-1.2,台,6451,6451.TW,,117
下降,21,封測(OSAT/測試),-1.2,台,6257,6257.TW,,123
下降,21,封測(OSAT/測試),-1.2,台,6217,6217.TW,,142
下降,21,封測(OSAT/測試),-1.2,台,6510,6510.TW,,200
下降,21,封測(OSAT/測試),-1.2,台,6789,6789.TW,,245
下降,21,封測(OSAT/測試),-1.2,台,2441,2441.TW,,250
