熱度排名,題材,熱度分,市場,代碼,XQ代碼,公司,排名
14,傳統消費,2377,韓,161890,161890.KS,韓國콜마,71
14,傳統消費,2377,韓,004170,004170.KS,新世界,97
14,傳統消費,2377,韓,090430,090430.KS,雅萌詩太平洋,99
14,傳統消費,2377,韓,003230,003230.KS,三養食品,110
14,傳統消費,2377,陸,sz000333,000333.SZ,美的集團,116
14,傳統消費,2377,陸,sh600519,600519.SH,貴州茅臺,130
14,傳統消費,2377,陸,sz002714,002714.SZ,牧原股份,237
14,傳統消費,2377,陸,sz000858,000858.SZ,五 糧 液,276
14,傳統消費,2377,陸,sz000651,000651.SZ,格力電器,304
15,電信,2007,台,2412,2412.TW,,107
15,電信,2007,台,3045,3045.TW,,122
15,電信,2007,台,4904,4904.TW,,139
15,電信,2007,美,LITE,LITE.US,朗美通(Lumentum),31
15,電信,2007,美,CSCO,CSCO.US,思科,41
15,電信,2007,美,T,T.US,美國電話電報(AT&T),44
15,電信,2007,美,VZ,VZ.US,威訊(Verizon),49
15,電信,2007,美,ANET,ANET.US,Arista Networks,81
15,電信,2007,日,9984,9984.JP,軟銀集團,4
15,電信,2007,日,9432,9432.JP,NTT,34
15,電信,2007,日,9433,9433.JP,KDDI,64
15,電信,2007,日,9434,9434.JP,軟銀(SoftBank Corp),78
15,電信,2007,韓,017670,017670.KS,SK電信,65
15,電信,2007,韓,030200,030200.KS,KT,184
15,電信,2007,韓,032640,032640.KS,LG U+,305
16,功率半導體,1918,台,8261,8261.TW,,22
16,功率半導體,1918,台,4919,4919.TW,,48
16,功率半導體,1918,台,2301,2301.TW,,73
16,功率半導體,1918,台,6138,6138.TW,,75
16,功率半導體,1918,台,3707,3707.TW,,87
16,功率半導體,1918,台,6719,6719.TW,,145
16,功率半導體,1918,台,2481,2481.TW,,149
16,功率半導體,1918,台,6415,6415.TW,,218
16,功率半導體,1918,台,5425,5425.TW,,232
16,功率半導體,1918,台,2385,2385.TW,,263
16,功率半導體,1918,台,8081,8081.TW,,283
16,功率半導體,1918,美,TXN,TXN.US,德州儀器,39
16,功率半導體,1918,美,MPWR,MPWR.US,萬代半導體(MPS),80
16,功率半導體,1918,美,ON,ON.US,安森美(onsemi),87
16,功率半導體,1918,美,NVTS,NVTS.US,Navitas Semiconductor,323
16,功率半導體,1918,美,WOLF,WOLF.US,Wolfspeed,644
16,功率半導體,1918,日,6963,6963.JP,羅姆(ROHM),27
16,功率半導體,1918,日,6503,6503.JP,三菱電機,55
16,功率半導體,1918,日,6504,6504.JP,富士電機,113
16,功率半導體,1918,日,6707,6707.JP,三研(Sanken),391
16,功率半導體,1918,韓,000990,000990.KS,DB海太克,81
16,功率半導體,1918,陸,sh600460,600460.SH,士蘭微,73
16,功率半導體,1918,陸,sh688396,688396.SH,華潤微,165
16,功率半導體,1918,陸,sz300373,300373.SZ,揚傑科技,172
16,功率半導體,1918,陸,sz300661,300661.SZ,聖邦股份,191
16,功率半導體,1918,陸,sh688141,688141.SH,傑華特,214
17,晶圓代工,1435,台,2330,2330.TW,,1
17,晶圓代工,1435,台,2303,2303.TW,,19
17,晶圓代工,1435,台,6770,6770.TW,,32
17,晶圓代工,1435,台,5347,5347.TW,,81
17,晶圓代工,1435,美,INTC,INTC.US,英特爾,7
17,晶圓代工,1435,美,TSM,TSM.US,台積電ADR,16
17,晶圓代工,1435,美,TSEM,TSEM.US,Tower Semiconductor,222
17,晶圓代工,1435,美,UMC,UMC.US,聯電ADR,265
17,晶圓代工,1435,陸,sh688981,688981.SH,中芯國際,27
17,晶圓代工,1435,陸,sh688347,688347.SH,華虹宏力,78
17,晶圓代工,1435,陸,sh688249,688249.SH,晶合集成,104
18,組裝代工(EMS),1395,台,2317,2317.TW,,20
18,組裝代工(EMS),1395,台,2382,2382.TW,,54
18,組裝代工(EMS),1395,台,3231,3231.TW,,67
18,組裝代工(EMS),1395,台,2356,2356.TW,,152
18,組裝代工(EMS),1395,台,2324,2324.TW,,171
18,組裝代工(EMS),1395,台,4938,4938.TW,,243
18,組裝代工(EMS),1395,台,2312,2312.TW,,291
18,組裝代工(EMS),1395,美,FLEX,FLEX.US,偉創力,135
18,組裝代工(EMS),1395,美,CLS,CLS.US,Celestica,178
18,組裝代工(EMS),1395,美,JBL,JBL.US,捷普(Jabil),342
18,組裝代工(EMS),1395,美,SANM,SANM.US,Sanmina,556
18,組裝代工(EMS),1395,陸,sz002475,002475.SZ,立訊精密,18
18,組裝代工(EMS),1395,陸,sh600667,600667.SH,太極實業,25
18,組裝代工(EMS),1395,陸,sz002600,002600.SZ,領益智造,48
18,組裝代工(EMS),1395,陸,sz300433,300433.SZ,藍思科技,65
18,組裝代工(EMS),1395,陸,sz300115,300115.SZ,長盈精密,133
19,矽晶圓/材料,1198,台,6182,6182.TW,,5
19,矽晶圓/材料,1198,台,5483,5483.TW,,41
19,矽晶圓/材料,1198,台,6488,6488.TW,,61
19,矽晶圓/材料,1198,日,3436,3436.JP,勝高(SUMCO),12
19,矽晶圓/材料,1198,日,4063,4063.JP,信越化學,31
19,矽晶圓/材料,1198,日,4043,4043.JP,德山(Tokuyama),380
19,矽晶圓/材料,1198,韓,010060,010060.KS,OCI控股,139
