code,name,market
2745,五福,上櫃
2751,王座,上櫃
2752,豆府,上櫃
2754,亞洲藏壽司,上櫃
2755,揚秦,上櫃
2756,聯發國際,上櫃
2916,滿心,上櫃
2924,宏太-KY,上櫃
2926,誠品生活,上櫃
2937,集雅社,上櫃
2941,米斯特,上櫃
2947,振宇五金,上櫃
2948,寶陞,上櫃
2949,欣新網,上櫃
3064,泰偉,上櫃
3066,李洲,上櫃
3067,全域,上櫃
3071,協禧,上櫃
3073,天方能源,上櫃
3078,僑威,上櫃
3081,聯亞,上櫃
3083,網龍,上櫃
3085,新零售,上櫃
3086,華義*,上櫃
3088,艾訊,上櫃
3093,港建*,上櫃
3095,及成,上櫃
3105,穩懋,上櫃
3114,好德,上櫃
3115,富榮綱,上櫃
3118,進階,上櫃
3122,笙泉,上櫃
3128,昇銳,上櫃
3131,弘塑,上櫃
3141,晶宏,上櫃
3147,大綜,上櫃
3152,璟德,上櫃
3158,嘉實,上櫃
3162,精確,上櫃
3163,波若威,上櫃
3169,亞信,上櫃
3171,炎洲流通,上櫃
3176,基亞,上櫃
3178,公準,上櫃
3188,鑫龍騰,上櫃
3191,雲嘉南,上櫃
3205,佰研,上櫃
3206,志豐,上櫃
3207,耀勝,上櫃
3211,順達,上櫃
3213,茂訊,上櫃
3217,優群,上櫃
3218,大學光,上櫃
3219,倚強科,上櫃
3221,台嘉碩,上櫃
3224,三顧,上櫃
3226,龍鋒,上櫃
3227,原相,上櫃
3228,金麗科,上櫃
3230,錦明,上櫃
3232,昱捷,上櫃
3234,光環,上櫃
3236,千如,上櫃
3252,海灣,上櫃
3259,鑫創,上櫃
3260,威剛,上櫃
3264,欣銓,上櫃
3265,台星科,上櫃
3268,海德威,上櫃
3272,東碩,上櫃
3276,宇環,上櫃
3284,太普高,上櫃
3285,微端,上櫃
3287,廣寰科,上櫃
3288,點晶,上櫃
3289,宜特,上櫃
3290,東浦,上櫃
3293,鈊象,上櫃
3294,英濟,上櫃
3297,杭特,上櫃
3303,岱稜,上櫃
3306,鼎天,上櫃
3310,佳穎,上櫃
3313,斐成,上櫃
3317,尼克森,上櫃
3322,建舜電,上櫃
3323,加百裕,上櫃
3324,雙鴻,上櫃
3325,旭品,上櫃
3332,幸康,上櫃
3339,泰谷,上櫃
3349,寶德,上櫃
3354,律勝,上櫃
3357,臺慶科,上櫃
3360,尚立,上櫃
3362,先進光,上櫃
3363,上詮,上櫃
3372,典範,上櫃
3373,熱映,上櫃
3374,精材,上櫃
3379,彬台,上櫃
3388,崇越電,上櫃
3390,旭軟,上櫃
3402,漢科,上櫃
3430,奇鈦科,上櫃
3434,哲固,上櫃
3438,類比科,上櫃
3441,聯一光,上櫃
3444,利機,上櫃
3455,由田,上櫃
3465,進泰電子,上櫃
3466,德晉,上櫃
3467,台灣精材,上櫃
3479,安勤,上櫃
3483,力致,上櫃
3484,崧騰,上櫃
3485,敘豐,上櫃
3489,森寶,上櫃
3490,單井,上櫃
3491,昇達科,上櫃
3492,長盛,上櫃
3498,陽程,上櫃
3499,環天科,上櫃
3508,位速,上櫃
3511,矽瑪,上櫃
3512,皇龍,上櫃
3516,亞帝歐,上櫃
3520,華盈,上櫃
3521,台鋼建設,上櫃
3522,御嵿,上櫃
3523,迎輝,上櫃
3526,凡甲,上櫃
3527,聚積,上櫃
3529,力旺,上櫃
3531,先益,上櫃
3537,堡達,上櫃
3540,曜越,上櫃
3541,西柏,上櫃
3546,宇峻,上櫃
3548,兆利,上櫃
3551,世禾,上櫃
3552,同致,上櫃
3555,博士旺,上櫃
3556,禾瑞亞,上櫃
3558,神準,上櫃
3564,其陽,上櫃
3567,逸昌,上櫃
3570,大塚,上櫃
3577,泓格,上櫃
3580,友威科,上櫃
3581,博磊,上櫃
3587,閎康,上櫃
3594,磐儀,上櫃
3597,映興,上櫃
3609,三一東林,上櫃
3611,鼎翰,上櫃
3615,安可,上櫃
3623,富晶通,上櫃
3624,光頡,上櫃
3625,西勝,上櫃
3628,盈正,上櫃
