code,name,amount_cny,rank
sh601012,隆基绿能,1231836358.0,560
sz000601,韶能股份,1227744990.0,561
sz002885,京泉华,1227363547.0,562
sh603991,领先股份,1224104924.0,563
sz001337,四川黄金,1223801731.0,564
sh603757,大元泵业,1222250280.0,565
sh603026,石大胜华,1221865867.0,566
sz300255,常山药业,1214067707.0,567
sz300814,中富电路,1213577409.0,568
sh600346,恒力石化,1213436533.0,569
sh600711,盛屯矿业,1213339151.0,570
sh600893,航发动力,1210091028.0,571
sh601788,光大证券,1209724543.0,572
sz000032,深桑达Ａ,1209436554.0,573
sz300769,德方纳米,1200504692.0,574
sz002064,华峰化学,1199204213.0,575
sh603698,航天工程,1196629549.0,576
sz300723,一品红,1192480858.0,577
sh601919,中远海控,1192328516.0,578
sz300498,温氏股份,1191547642.0,579
sh688018,乐鑫科技,1189124943.0,580
sz301486,致尚科技,1179674513.0,581
sh688143,长盈通,1175802596.0,582
sh600363,联创光电,1175765771.0,583
sh600919,江苏银行,1171626151.0,584
sz003031,中瓷电子,1171619555.0,585
sz002756,永兴材料,1170767710.0,586
sz001267,汇绿生态,1165629187.0,587
sh688025,杰普特,1165518329.0,588
sh688195,腾景科技,1164579302.0,589
sh688661,和林微纳,1164423791.0,590
sh603859,能科科技,1163493034.0,591
sh601881,中国银河,1159046717.0,592
sh600096,云天化,1157129302.0,593
sz001331,胜通能源,1155670521.0,594
sz002396,星网锐捷,1155247427.0,595
sz002580,圣阳股份,1153746068.0,596
sh688206,概伦电子,1151606395.0,597
sh688783,西安奕材,1147751016.0,598
sz000969,安泰科技,1145533585.0,599
sz300779,惠城环保,1143002908.0,600
